latitude	longitude
57.7278179	11.9817507	
57.7291927	11.9826948	
57.7310715	11.9834673	
57.7331794	11.9845831	
57.7347831	11.9856989	
57.7366617	11.9862997	
57.7389067	11.9872438	
57.7413806	11.9878447	
57.7434878	11.9887888	
57.7462821	11.9898188	
57.7487097	11.9906771	
57.7514586	11.9914068	
57.7542523	11.9914926	
57.7576495	11.9918360	
57.7605888	11.9925226	
57.7634956	11.9932487	
57.7668834	11.9946220	
57.7692691	11.9953944	
57.7716951	11.9965102	
57.7744872	11.9974544	
57.7768671	11.9982269	
57.7792927	11.9989135	
57.7818553	11.9991710	
57.7844178	11.9996860	
57.7879867	12.0008018	
57.7905533	12.0019090	
57.7930694	12.0035398	
57.7953566	12.0049131	
57.7976437	12.0064580	
57.7996634	12.0072614	
57.8020417	12.0076905	
57.8046485	12.0075189	
57.8072551	12.0070039	
57.8094957	12.0067464	
57.8114618	12.0062314	
57.8132449	12.0058023	
57.8152108	12.0055448	
57.8171309	12.0049440	
57.8195995	12.0045386	
57.8216107	12.0043670	
57.8241704	12.0041095	
57.8265471	12.0042811	
57.8292892	12.0047103	
57.8316198	12.0051395	
57.8340416	12.0055686	
57.8363720	12.0057403	
57.8388392	12.0059978	
57.8410778	12.0054828	
57.8435904	12.0050536	
57.8456585	12.0036023	
57.8482621	12.0022290	
57.8502512	12.0005511	
57.8519411	11.9987487	
57.8536309	11.9966029	
57.8554576	11.9935988	
57.8567819	11.9912814	
57.8579235	11.9888782	
57.8590651	11.9864749	
57.8598413	11.9840716	
57.8607089	11.9812392	
57.8618504	11.9782351	
57.8629005	11.9762610	
57.8638593	11.9748019	
57.8653486	11.9726492	
57.8673573	11.9702460	
57.8690921	11.9688727	
57.8708724	11.9679285	
57.8723787	11.9666411	
57.8740974	11.9650826	
57.8756036	11.9631943	
57.8771131	11.9606781	
57.8783454	11.9579315	
57.8795319	11.9549274	
57.8808097	11.9519234	
57.8820875	11.9492626	
57.8835477	11.9468593	
57.8850991	11.9449711	
57.8866340	11.9427901	
57.8882309	11.9404727	
57.8900559	11.9379836	
57.8915158	11.9356662	
57.8932037	11.9334346	
57.8946179	11.9306022	
57.8961232	11.9282848	
57.8974713	11.9256209	
57.8991590	11.9226168	
57.9006185	11.9190977	
57.9022604	11.9154070	
57.9036286	11.9118880	
57.9051945	11.9078919	
57.9064258	11.9040295	
57.9075203	11.9010254	
57.9092530	11.8979355	
57.9107438	11.8953789	
57.9124764	11.8920315	
57.9140266	11.8898857	
57.9155311	11.8875683	
57.9172180	11.8849934	
57.9189047	11.8828476	
57.9212693	11.8808756	
57.9235028	11.8787298	
57.9258729	11.8770132	
57.9281973	11.8754682	
57.9303136	11.8737389	
57.9322732	11.8722798	
57.9340959	11.8702198	
57.9358274	11.8683316	
57.9376955	11.8661000	
57.9393813	11.8640400	
57.9409303	11.8618084	
57.9427526	11.8590618	
57.9447035	11.8569329	
57.9468900	11.8547013	
57.9489397	11.8532422	
57.9510348	11.8518689	
57.9529477	11.8507531	
57.9547238	11.8501523	
57.9566365	11.8486073	
57.9585491	11.8474057	
57.9603705	11.8462899	
57.9621007	11.8446591	
57.9638308	11.8433716	
57.9657886	11.8421700	
57.9676096	11.8410542	
57.9696126	11.8403676	
57.9717976	11.8399384	
57.9737648	11.8397574	
57.9760406	11.8401865	
57.9779521	11.8407015	
57.9800000	11.8410448	
57.9823616	11.8417315	
57.9844093	11.8421280	
57.9867754	11.8422996	
57.9892323	11.8424713	
57.9913706	11.8422138	
57.9937038	11.8422138	
57.9961602	11.8426430	
57.9982981	11.8434154	
58.0012091	11.8445312	
58.0036650	11.8444454	
58.0059389	11.8440163	
58.0085941	11.8434955	
58.0108676	11.8433238	
58.0134138	11.8431521	
58.0155962	11.8435813	
58.0178693	11.8439246	
58.0201877	11.8444396	
58.0222332	11.8449546	
58.0247780	11.8458871	
58.0270505	11.8464879	
58.0295501	11.8465737	
58.0314133	11.8465737	
58.0337380	11.8462304	
58.0361008	11.8455438	
58.0380091	11.8459729	
58.0404171	11.8468312	
58.0424160	11.8482045	
58.0439606	11.8500069	
58.0453688	11.8525819	
58.0464590	11.8546418	
58.0473675	11.8576459	
58.0483937	11.8597487	
58.0493475	11.8622378	
58.0504376	11.8649844	
58.0514368	11.8674735	
58.0525722	11.8697051	
58.0536622	11.8718509	
58.0547067	11.8742541	
58.0562054	11.8768291	
58.0572044	11.8797473	
58.0573860	11.8810348	
58.0570682	11.8816356	
58.0567049	11.8819789	
58.0562962	11.8817214	
58.0560237	11.8806056	
58.0562508	11.8794898	
58.0568411	11.8778590	
58.0578856	11.8762282	
58.0589300	11.8745975	
58.0602922	11.8730525	
58.0615636	11.8716792	
58.0626987	11.8703059	
58.0637429	11.8689326	
58.0649234	11.8670444	
58.0661492	11.8648986	
58.0670118	11.8626670	
58.0678743	11.8608645	
58.0685099	11.8591479	
58.0691454	11.8570880	
58.0696902	11.8555430	
58.0702803	11.8535689	
58.0712335	11.8503074	
58.0723230	11.8478183	
58.0731400	11.8455867	
58.0740024	11.8434409	
58.0749102	11.8414668	
58.0754548	11.8395785	
58.0759995	11.8379478	
58.0765441	11.8361453	
58.0773157	11.8340854	
58.0778603	11.8323688	
58.0784049	11.8310813	
58.0787226	11.8300513	
58.0782233	11.8293647	
58.0774518	11.8290214	
58.0767710	11.8285064	
58.0759995	11.8276481	
58.0747740	11.8266181	
58.0743882	11.8256096	
58.0739910	11.8248586	
58.0735939	11.8243865	
58.0734350	11.8242792	
58.0732308	11.8239144	
58.0729357	11.8237428	
58.0726861	11.8234853	
58.0723910	11.8231849	
58.0718917	11.8226699	
58.0715513	11.8224339	
58.0710974	11.8222622	
58.0707342	11.8221549	
58.0704505	11.8220476	
58.0701214	11.8218760	
58.0697809	11.8217043	
58.0694632	11.8213181	
58.0690433	11.8210391	
58.0686234	11.8208889	
58.0683510	11.8207602	
58.0680559	11.8205670	
58.0676927	11.8202881	
58.0673976	11.8199448	
58.0672274	11.8197302	
58.0673522	11.8192796	
58.0673636	11.8188719	
58.0674430	11.8187002	
58.0677835	11.8187861	
58.0679084	11.8185286	
58.0680446	11.8182711	
58.0682488	11.8185286	
